Date,Platform,Product_Category,Model_Name,Condition,Launch_Price_USD,Launch_Price_MAD,Current_Price_USD,Current_Price_MAD,Discount_Pct,Sale_Event,Stock_Status,Rating,Reviews_Count,Product_Year,Price_Diff
2025-12-27,Flipkart,Watch,Apple Watch Series X (45mm),New,429,3989.7,327.21,3043.05,23.7,Unknown,In Stock,4.6,1778,1970-01-01 00:00:00.000002025,101.79000000000002
2024-01-13,Flipkart,iPhone,iPhone 13 128GB,Renewed/Refurbished,799,7430.7,418.0,3887.4,47.7,Unknown,In Stock,4.2,1264,1970-01-01 00:00:00.000002024,381.0
2025-04-13,Amazon,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,324.99,3022.41,24.2,Unknown,Low Stock,4.3,2007,1970-01-01 00:00:00.000002025,104.00999999999999
2026-07-25,Flipkart,iPhone,iPhone 16 Pro 256GB,New,1099,10220.7,1002.6,9324.18,8.799999999999999,Unknown,In Stock,4.7,2978,1970-01-01 00:00:00.000002026,96.39999999999998
2025-01-22,Amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.7,1961.59,18242.79,1.9,Unknown,In Stock,4.6,347,1970-01-01 00:00:00.000002025,37.41000000000008
2026-04-28,Flipkart,Watch,Apple Watch Series 8 (45mm),New,429,3989.7,254.19,2363.97,40.7,Unknown,Out of Stock,4.7,2670,1970-01-01 00:00:00.000002026,174.81
2023-08-07,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,9290.7,576.24,5359.03,42.3,Unknown,In Stock,4.2,2403,1970-01-01 00:00:00.000002023,422.76
2025-11-02,Amazon,Watch,Apple Watch Series X (45mm),New,429,3989.7,432.27,4020.11,-0.8,Unknown,In Stock,4.5,427,1970-01-01 00:00:00.000002025,-3.269999999999982
2025-01-05,Amazon,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,330.89,3077.28,22.9,Unknown,In Stock,4.8,968,1970-01-01 00:00:00.000002025,98.11000000000001
2024-12-12,Amazon,iPhone,iPhone 15 128GB,Renewed/Refurbished,799,7430.7,530.77,4936.16,33.6,Unknown,In Stock,4.4,907,1970-01-01 00:00:00.000002024,268.23
2025-06-18,Flipkart,Watch,Apple Watch Ultra 2,Renewed/Refurbished,799,7430.7,554.9,5160.57,30.6,Unknown,In Stock,4.1,1042,1970-01-01 00:00:00.000002025,244.10000000000002
2026-01-24,Amazon,iPhone,iPhone 17 128GB,New,849,7895.7,860.15,7999.4,-1.3,Unknown,Out of Stock,4.4,554,1970-01-01 00:00:00.000002026,-11.149999999999977
2026-02-15,Flipkart,Mac,MacBook Pro 14-inch M2 Pro 512GB,Renewed/Refurbished,1999,18590.7,1402.46,13042.88,29.8,Unknown,Out of Stock,4.0,5906,1970-01-01 00:00:00.000002026,596.54
2025-11-09,Amazon,iPad,iPad (9th Gen) 64GB,New,329,3059.7,199.69,1857.12,39.3,Unknown,Out of Stock,4.4,2535,1970-01-01 00:00:00.000002025,129.31
2024-06-05,Amazon,Mac,MacBook Air M3 256GB,Renewed/Refurbished,1099,10220.7,797.11,7413.12,27.500000000000004,Unknown,Out of Stock,4.3,170,1970-01-01 00:00:00.000002024,301.89
2026-11-01,Amazon,iPhone,iPhone 16 128GB,New,799,7430.7,712.6,6627.18,10.8,Unknown,In Stock,4.2,1804,1970-01-01 00:00:00.000002026,86.39999999999998
2026-02-11,Flipkart,iPhone,iPhone 15 128GB,New,799,7430.7,604.64,5623.15,24.3,Unknown,In Stock,4.9,2471,1970-01-01 00:00:00.000002026,194.36
2024-09-03,Flipkart,iPad,iPad Pro 11-inch (M4) 256GB,New,999,9290.7,1009.26,9386.12,-1.0,Unknown,In Stock,4.7,309,1970-01-01 00:00:00.000002024,-10.259999999999991
2025-12-16,Amazon,iPad,iPad Pro 12.9-inch (M2) 256GB,New,1199,11150.7,885.56,8235.71,26.1,Unknown,In Stock,4.7,5856,1970-01-01 00:00:00.000002025,313.44000000000005
2025-03-14,Flipkart,Mac,MacBook Pro 14-inch M3 Pro 512GB,New,1999,18590.7,1928.72,17937.1,3.5000000000000004,Unknown,In Stock,4.3,1165,1970-01-01 00:00:00.000002025,70.27999999999997
2024-11-01,Flipkart,iPhone,iPhone 15 Pro Max 256GB,Renewed/Refurbished,1199,11150.7,835.06,7766.06,30.4,Unknown,In Stock,3.9,878,1970-01-01 00:00:00.000002024,363.94000000000005
2023-04-18,Flipkart,iPhone,iPhone 14 Pro 128GB,New,999,9290.7,1003.95,9336.74,-0.5,Unknown,In Stock,4.8,584,1970-01-01 00:00:00.000002023,-4.9500000000000455
2025-11-23,Amazon,iPhone,iPhone 15 Pro Max 256GB,New,1199,11150.7,899.19,8362.47,25.0,Black Friday,In Stock,4.2,2639,1970-01-01 00:00:00.000002025,299.80999999999995
2026-11-01,Flipkart,iPad,iPad Pro 12.9-inch (M2) 256GB,New,1199,11150.7,887.35,8252.36,26.0,Unknown,Out of Stock,4.4,4036,1970-01-01 00:00:00.000002026,311.65
2026-03-04,Flipkart,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,9290.7,500.38,4653.53,49.9,Unknown,Out of Stock,4.3,10567,1970-01-01 00:00:00.000002026,498.62
2023-12-26,Flipkart,iPad,iPad (9th Gen) 64GB,Renewed/Refurbished,329,3059.7,165.96,1543.43,49.6,Unknown,In Stock,4.0,2932,1970-01-01 00:00:00.000002023,163.04
2023-02-16,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,3989.7,210.34,1956.16,51.0,Unknown,In Stock,4.2,2775,1970-01-01 00:00:00.000002023,218.66
2025-05-01,Flipkart,Watch,Apple Watch Series X (45mm),New,429,3989.7,427.81,3978.63,0.3,Unknown,In Stock,4.2,369,1970-01-01 00:00:00.000002025,1.1899999999999977
2026-06-03,Amazon,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.7,809.4,7527.42,32.5,Unknown,Out of Stock,4.3,3463,1970-01-01 00:00:00.000002026,389.6
2024-08-12,Flipkart,iPhone,iPhone 16 128GB,New,799,7430.7,789.25,7340.03,1.2,Unknown,In Stock,4.3,219,1970-01-01 00:00:00.000002024,9.75
2024-06-24,Amazon,Watch,Apple Watch Series 7 (45mm),New,429,3989.7,260.96,2426.93,39.2,Unknown,In Stock,4.5,4617,1970-01-01 00:00:00.000002024,168.04000000000002
2026-03-21,Flipkart,Watch,Apple Watch Ultra 2,New,799,7430.7,602.55,5603.72,24.6,Unknown,In Stock,4.3,2198,1970-01-01 00:00:00.000002026,196.45000000000005
2025-04-13,Amazon,iPhone,iPhone 16 128GB,New,799,7430.7,801.81,7456.83,-0.4,Unknown,In Stock,4.2,963,1970-01-01 00:00:00.000002025,-2.8099999999999454
2021-12-12,Amazon,iPad,iPad Pro 11-inch (M1) 128GB,Renewed/Refurbished,799,7430.7,582.9,5420.97,27.0,Unknown,In Stock,4.1,420,1970-01-01 00:00:00.000002021,216.10000000000002
2024-05-15,Amazon,Watch,Apple Watch Series 7 (45mm),New,429,3989.7,259.33,2411.77,39.5,Unknown,In Stock,4.4,2708,1970-01-01 00:00:00.000002024,169.67000000000002
2023-09-17,Flipkart,iPad,iPad Pro 12.9-inch (M2) 256GB,New,1199,11150.7,1205.75,11213.48,-0.6,Unknown,In Stock,4.5,855,1970-01-01 00:00:00.000002023,-6.75
2026-04-04,Flipkart,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.7,796.32,7405.78,33.6,Unknown,Low Stock,4.5,5143,1970-01-01 00:00:00.000002026,402.67999999999995
2026-01-15,Flipkart,Mac,MacBook Pro 14-inch M4 Pro 512GB,Renewed/Refurbished,1999,18590.7,1452.18,13505.27,27.4,Unknown,In Stock,4.2,1602,1970-01-01 00:00:00.000002026,546.8199999999999
2023-08-29,Flipkart,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.7,609.11,5664.72,23.8,Unknown,In Stock,4.3,3301,1970-01-01 00:00:00.000002023,189.89
2026-03-16,Flipkart,Mac,MacBook Pro 14-inch M1 Pro 512GB,New,1999,18590.7,1627.05,15131.57,18.6,Unknown,Low Stock,4.7,7699,1970-01-01 00:00:00.000002026,371.95000000000005
2025-05-15,Flipkart,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,324.53,3018.13,24.4,Unknown,In Stock,4.7,1316,1970-01-01 00:00:00.000002025,104.47000000000003
2021-03-22,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,3989.7,436.94,4063.54,-1.9,Unknown,In Stock,4.8,388,1970-01-01 00:00:00.000002021,-7.939999999999998
2026-01-17,Flipkart,iPhone,iPhone 15 Pro Max 256GB,New,1199,11150.7,1016.03,9449.08,15.3,Unknown,In Stock,4.3,2415,1970-01-01 00:00:00.000002026,182.97000000000003
2023-12-13,Amazon,iPhone,iPhone 13 128GB,New,799,7430.7,591.6,5501.88,26.0,Unknown,In Stock,4.3,3535,1970-01-01 00:00:00.000002023,207.39999999999998
2024-09-06,Flipkart,Watch,Apple Watch Series 8 (45mm),New,429,3989.7,331.54,3083.32,22.7,Unknown,In Stock,4.9,1277,1970-01-01 00:00:00.000002024,97.45999999999998
2025-12-04,Flipkart,Mac,MacBook Pro 14-inch M4 Pro 512GB,Renewed/Refurbished,1999,18590.7,1414.17,13151.78,29.3,Unknown,In Stock,4.3,295,1970-01-01 00:00:00.000002025,584.8299999999999
2024-04-02,Flipkart,Watch,Apple Watch Series 8 (45mm),Renewed/Refurbished,429,3989.7,241.93,2249.95,43.6,Unknown,In Stock,4.3,2531,1970-01-01 00:00:00.000002024,187.07
2022-05-07,Amazon,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,5570.7,390.26,3629.42,34.8,Unknown,In Stock,3.8,2551,1970-01-01 00:00:00.000002022,208.74
2024-12-30,Flipkart,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.7,2033.83,18914.62,-1.7000000000000002,Unknown,In Stock,4.8,352,1970-01-01 00:00:00.000002024,-34.82999999999993
2026-09-06,Amazon,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,9290.7,493.4,4588.62,50.6,Unknown,Low Stock,4.0,9322,1970-01-01 00:00:00.000002026,505.6
2026-05-24,Flipkart,iPhone,iPhone 14 128GB,Renewed/Refurbished,799,7430.7,380.81,3541.53,52.3,Unknown,Low Stock,4.0,6339,1970-01-01 00:00:00.000002026,418.19
2025-03-26,Amazon,iPhone,iPhone 16 128GB,Renewed/Refurbished,799,7430.7,622.01,5784.69,22.2,Unknown,Low Stock,4.2,428,1970-01-01 00:00:00.000002025,176.99
2026-02-07,Amazon,iPad,iPad Air (5th Gen) 64GB,Renewed/Refurbished,599,5570.7,272.87,2537.69,54.400000000000006,Unknown,Low Stock,4.4,4877,1970-01-01 00:00:00.000002026,326.13
2026-02-22,Amazon,iPhone,iPhone 17 128GB,New,849,7895.7,861.94,8016.04,-1.5,Unknown,Out of Stock,4.4,669,1970-01-01 00:00:00.000002026,-12.940000000000055
2024-03-27,Flipkart,Watch,Apple Watch Series 7 (45mm),New,429,3989.7,262.32,2439.58,38.9,Unknown,In Stock,4.5,2499,1970-01-01 00:00:00.000002024,166.68
2025-08-16,Flipkart,Mac,MacBook Air M3 256GB,Renewed/Refurbished,1099,10220.7,795.93,7402.15,27.6,Unknown,In Stock,3.9,2312,1970-01-01 00:00:00.000002025,303.07000000000005
2024-05-07,Amazon,iPhone,iPhone 14 Pro 128GB,New,999,9290.7,895.21,8325.45,10.4,Unknown,In Stock,4.5,3308,1970-01-01 00:00:00.000002024,103.78999999999996
2021-10-23,Flipkart,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.7,1175.1,10928.43,2.0,Unknown,In Stock,4.7,81,1970-01-01 00:00:00.000002021,23.90000000000009
2024-02-09,Amazon,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,9290.7,515.19,4791.27,48.4,Unknown,In Stock,4.5,2145,1970-01-01 00:00:00.000002024,483.80999999999995
2023-05-15,Flipkart,iPhone,iPhone 14 Pro 128GB,New,999,9290.7,992.66,9231.74,0.6,Unknown,In Stock,4.4,643,1970-01-01 00:00:00.000002023,6.340000000000032
2025-11-09,Amazon,iPhone,iPhone 15 128GB,New,799,7430.7,688.47,6402.77,13.8,Unknown,In Stock,4.4,3061,1970-01-01 00:00:00.000002025,110.52999999999997
2025-07-13,Flipkart,iPhone,iPhone 16 Pro 256GB,Renewed/Refurbished,1099,10220.7,839.44,7806.79,23.6,Unknown,In Stock,3.8,820,1970-01-01 00:00:00.000002025,259.55999999999995
2022-02-01,Amazon,Mac,MacBook Pro 14-inch M1 Pro 512GB,Renewed/Refurbished,1999,18590.7,1658.17,15420.98,17.0,Unknown,In Stock,4.4,462,1970-01-01 00:00:00.000002022,340.8299999999999
2025-04-02,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,5570.7,363.1,3376.83,39.4,Unknown,Out of Stock,4.3,8739,1970-01-01 00:00:00.000002025,235.89999999999998
2026-04-15,Flipkart,iPhone,iPhone 16 128GB,New,799,7430.7,695.68,6469.82,12.9,Unknown,In Stock,4.7,2519,1970-01-01 00:00:00.000002026,103.32000000000005
2025-04-12,Amazon,iPad,iPad Pro 11-inch (M4) 256GB,New,999,9290.7,912.57,8486.9,8.7,Unknown,In Stock,4.4,3008,1970-01-01 00:00:00.000002025,86.42999999999995
2023-12-25,Amazon,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,425.09,3953.34,0.8999999999999999,Unknown,In Stock,4.6,485,1970-01-01 00:00:00.000002023,3.910000000000025
2023-04-05,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,9290.7,813.03,7561.18,18.6,Unknown,Low Stock,4.3,4120,1970-01-01 00:00:00.000002023,185.97000000000003
2025-03-17,Amazon,iPhone,iPhone 16 128GB,New,799,7430.7,811.49,7546.86,-1.6,Unknown,In Stock,4.8,800,1970-01-01 00:00:00.000002025,-12.490000000000009
2024-07-02,Flipkart,Mac,MacBook Pro 14-inch M3 Pro 512GB,Renewed/Refurbished,1999,18590.7,1435.04,13345.87,28.2,Unknown,In Stock,3.9,1203,1970-01-01 00:00:00.000002024,563.96
2025-02-14,Flipkart,Watch,Apple Watch Series X (45mm),New,429,3989.7,432.36,4020.95,-0.8,Unknown,Low Stock,4.6,717,1970-01-01 00:00:00.000002025,-3.3600000000000136
2024-08-16,Flipkart,iPad,iPad (9th Gen) 64GB,New,329,3059.7,199.59,1856.19,39.3,Unknown,In Stock,4.5,2370,1970-01-01 00:00:00.000002024,129.41
2025-11-29,Amazon,Mac,MacBook Air M2 256GB,Renewed/Refurbished,1199,11150.7,539.39,5016.33,55.00000000000001,Black Friday,Out of Stock,4.4,6708,1970-01-01 00:00:00.000002025,659.61
2026-07-29,Flipkart,iPhone,iPhone 17 128GB,Renewed/Refurbished,849,7895.7,684.79,6368.55,19.3,Unknown,In Stock,4.5,1353,1970-01-01 00:00:00.000002026,164.21000000000004
2025-01-01,Flipkart,Mac,MacBook Pro 14-inch M1 Pro 512GB,New,1999,18590.7,1671.72,15547.0,16.400000000000002,Unknown,Low Stock,4.3,3435,1970-01-01 00:00:00.000002025,327.28
2024-02-29,Flipkart,iPad,iPad Pro 12.9-inch (M2) 256GB,New,1199,11150.7,1106.16,10287.29,7.7,Unknown,In Stock,4.4,1556,1970-01-01 00:00:00.000002024,92.83999999999992
2023-11-05,Amazon,iPad,iPad Air (5th Gen) 64GB,New,599,5570.7,505.66,4702.64,15.6,Unknown,In Stock,4.8,1404,1970-01-01 00:00:00.000002023,93.33999999999997
2022-09-27,Flipkart,iPhone,iPhone 14 Pro 128GB,New,999,9290.7,1008.1,9375.33,-0.8999999999999999,Unknown,In Stock,4.3,82,1970-01-01 00:00:00.000002022,-9.100000000000023
2024-06-25,Amazon,iPhone,iPhone 15 Pro Max 256GB,New,1199,11150.7,1210.17,11254.58,-0.8999999999999999,Unknown,In Stock,4.3,1128,1970-01-01 00:00:00.000002024,-11.170000000000073
2025-10-29,Amazon,iPhone,iPhone 13 128GB,New,799,7430.7,473.82,4406.53,40.7,Unknown,In Stock,4.9,6354,1970-01-01 00:00:00.000002025,325.18
2024-12-01,Flipkart,iPhone,iPhone 12 64GB,New,799,7430.7,478.09,4446.24,40.2,Unknown,Out of Stock,4.4,7463,1970-01-01 00:00:00.000002024,320.91
2026-12-07,Flipkart,Watch,Apple Watch Series 7 (45mm),New,429,3989.7,261.75,2434.28,39.0,Unknown,Low Stock,4.7,5409,1970-01-01 00:00:00.000002026,167.25
2026-03-14,Amazon,iPhone,iPhone 17 128GB,New,849,7895.7,841.11,7822.32,0.8999999999999999,Unknown,Low Stock,4.6,781,1970-01-01 00:00:00.000002026,7.889999999999986
2025-07-20,Flipkart,Watch,Apple Watch Series X (45mm),Renewed/Refurbished,429,3989.7,352.28,3276.2,17.9,Unknown,In Stock,3.9,939,1970-01-01 00:00:00.000002025,76.72000000000003
2023-06-10,Amazon,iPhone,iPhone 14 128GB,New,799,7430.7,503.77,4685.06,36.9,Great Indian Festival,In Stock,4.8,2097,1970-01-01 00:00:00.000002023,295.23
2026-06-30,Flipkart,iPhone,iPhone 16 Pro 256GB,New,1099,10220.7,997.1,9273.03,9.3,Unknown,In Stock,4.3,2584,1970-01-01 00:00:00.000002026,101.89999999999998
2022-08-30,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,9290.7,888.66,8264.54,11.0,Unknown,In Stock,4.4,2110,1970-01-01 00:00:00.000002022,110.34000000000003
2025-09-22,Flipkart,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.7,907.83,8442.82,24.3,Unknown,Low Stock,4.8,7138,1970-01-01 00:00:00.000002025,291.16999999999996
2025-01-25,Flipkart,Watch,Apple Watch Ultra,New,799,7430.7,592.08,5506.34,25.9,Unknown,In Stock,4.4,2200,1970-01-01 00:00:00.000002025,206.91999999999996
2023-04-09,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,9290.7,660.78,6145.25,33.900000000000006,Unknown,In Stock,4.5,4346,1970-01-01 00:00:00.000002023,338.22
2023-12-09,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,9290.7,488.12,4539.52,51.1,Unknown,Out of Stock,4.1,4849,1970-01-01 00:00:00.000002023,510.88
2024-04-02,Amazon,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.7,1000.73,9306.79,16.5,Unknown,In Stock,4.5,3907,1970-01-01 00:00:00.000002024,198.26999999999998
2025-10-02,Amazon,Mac,MacBook Pro 14-inch M2 Pro 512GB,New,1999,18590.7,1770.96,16469.93,11.4,Unknown,Low Stock,4.8,3456,1970-01-01 00:00:00.000002025,228.03999999999996
2024-06-23,Amazon,Watch,Apple Watch Ultra 2,Renewed/Refurbished,799,7430.7,583.36,5425.25,27.0,Unknown,In Stock,4.2,1044,1970-01-01 00:00:00.000002024,215.64
2026-05-28,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,3989.7,258.55,2404.52,39.7,Unknown,In Stock,4.7,8672,1970-01-01 00:00:00.000002026,170.45
2024-06-17,Amazon,Mac,MacBook Air M3 256GB,Renewed/Refurbished,1099,10220.7,927.72,8627.8,15.6,Unknown,In Stock,3.9,276,1970-01-01 00:00:00.000002024,171.27999999999997
2025-08-10,Amazon,iPhone,iPhone 14 Pro 128GB,New,999,9290.7,513.73,4777.69,48.6,Great Indian Festival,Out of Stock,4.6,6121,1970-01-01 00:00:00.000002025,485.27
2022-11-02,Amazon,iPad,iPad (9th Gen) 64GB,New,329,3059.7,228.53,2125.33,30.5,Unknown,In Stock,4.2,1880,1970-01-01 00:00:00.000002022,100.47
2023-10-08,Flipkart,iPad,iPad (9th Gen) 64GB,New,329,3059.7,224.45,2087.39,31.8,Unknown,In Stock,4.2,2837,1970-01-01 00:00:00.000002023,104.55000000000001
2025-09-19,Amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.7,1972.23,18341.74,1.3,Unknown,In Stock,4.8,1316,1970-01-01 00:00:00.000002025,26.769999999999982
2025-07-11,Flipkart,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,253.27,2355.41,41.0,Unknown,In Stock,4.4,2936,1970-01-01 00:00:00.000002025,175.73
2024-07-02,Amazon,Mac,MacBook Pro 14-inch M2 Pro 512GB,New,1999,18590.7,1908.24,17746.63,4.5,Unknown,Out of Stock,4.9,1704,1970-01-01 00:00:00.000002024,90.75999999999999
2025-04-21,Flipkart,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.7,508.07,4725.05,36.4,Unknown,Out of Stock,4.5,4741,1970-01-01 00:00:00.000002025,290.93
2026-07-20,Amazon,Mac,MacBook Air M2 256GB,New,1199,11150.7,804.24,7479.43,32.9,Unknown,In Stock,4.3,3919,1970-01-01 00:00:00.000002026,394.76
2023-08-17,Amazon,Mac,MacBook Air M1 256GB,New,999,9290.7,790.16,7348.49,20.9,Unknown,In Stock,4.6,4914,1970-01-01 00:00:00.000002023,208.84000000000003
2021-08-26,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,3989.7,437.3,4066.89,-1.9,Unknown,In Stock,4.7,1553,1970-01-01 00:00:00.000002021,-8.300000000000011
2025-04-19,Flipkart,Watch,Apple Watch Series 9 (45mm),New,429,3989.7,328.94,3059.14,23.3,Unknown,In Stock,4.8,1912,1970-01-01 00:00:00.000002025,100.06
2026-11-02,Flipkart,iPhone,iPhone 14 Pro 128GB,New,999,9290.7,685.58,6375.89,31.4,Unknown,In Stock,4.3,2380,1970-01-01 00:00:00.000002026,313.41999999999996
2023-12-26,Flipkart,Mac,MacBook Air M1 256GB,New,999,9290.7,686.94,6388.54,31.2,Unknown,Out of Stock,4.8,3270,1970-01-01 00:00:00.000002023,312.05999999999995
2026-03-10,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,3989.7,253.54,2357.92,40.9,Unknown,Low Stock,4.9,9733,1970-01-01 00:00:00.000002026,175.46
2024-12-26,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,5570.7,362.55,3371.72,39.5,Unknown,Out of Stock,4.6,5228,1970-01-01 00:00:00.000002024,236.45
2025-10-16,Amazon,Mac,MacBook Air M3 256GB,New,1099,10220.7,986.12,9170.92,10.3,Unknown,In Stock,4.9,2858,1970-01-01 00:00:00.000002025,112.88
2025-02-09,Flipkart,Watch,Apple Watch Series 7 (45mm),Renewed/Refurbished,429,3989.7,215.05,1999.97,49.9,Unknown,Low Stock,3.8,6028,1970-01-01 00:00:00.000002025,213.95
2024-10-13,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,3989.7,228.51,2125.14,46.7,Big Billion Days,Out of Stock,4.3,6760,1970-01-01 00:00:00.000002024,200.49
2025-03-28,Flipkart,iPhone,iPhone 16 128GB,New,799,7430.7,805.8,7493.94,-0.8999999999999999,Unknown,In Stock,4.4,723,1970-01-01 00:00:00.000002025,-6.7999999999999545
2026-01-01,Amazon,iPhone,iPhone 13 128GB,New,799,7430.7,486.76,4526.87,39.1,Unknown,In Stock,4.8,3640,1970-01-01 00:00:00.000002026,312.24
2022-12-28,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,3989.7,210.06,1953.56,51.0,Unknown,In Stock,4.3,4050,1970-01-01 00:00:00.000002022,218.94
2025-12-28,Amazon,Mac,MacBook Air M2 256GB,New,1199,11150.7,883.67,8218.13,26.3,Unknown,Out of Stock,4.8,6255,1970-01-01 00:00:00.000002025,315.33000000000004
2025-02-07,Flipkart,Watch,Apple Watch Ultra 2,New,799,7430.7,697.22,6484.15,12.7,Unknown,In Stock,4.5,2220,1970-01-01 00:00:00.000002025,101.77999999999997
2025-11-07,Flipkart,Mac,MacBook Pro 14-inch M2 Pro 512GB,Renewed/Refurbished,1999,18590.7,1246.12,11588.92,37.7,Unknown,In Stock,4.3,4905,1970-01-01 00:00:00.000002025,752.8800000000001
2023-03-03,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,9290.7,804.47,7481.57,19.5,Unknown,Out of Stock,4.4,1843,1970-01-01 00:00:00.000002023,194.52999999999997
2024-04-12,Amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB,New,1999,18590.7,2026.01,18841.89,-1.4,Unknown,In Stock,4.9,149,1970-01-01 00:00:00.000002024,-27.00999999999999
2025-06-19,Flipkart,iPhone,iPhone 15 Pro Max 256GB,New,1199,11150.7,1082.06,10063.16,9.8,Unknown,Low Stock,4.8,1176,1970-01-01 00:00:00.000002025,116.94000000000005
2024-09-02,Amazon,iPhone,iPhone 13 128GB,New,799,7430.7,603.17,5609.48,24.5,Unknown,In Stock,4.6,2714,1970-01-01 00:00:00.000002024,195.83000000000004
