Date,Platform,Product_Category,Model_Name,Condition,Launch_Price_USD,Launch_Price_MAD,Current_Price_USD,Current_Price_MAD,Discount_Pct,Sale_Event,Stock_Status,Rating,Reviews_Count
Feb 15 2026,FLIPKART,Mac,MacBook Pro 14-inch M2 Pro 512GB,Renewed/Refurbished,1999,18590.70,1402.46,13042.88,29.8,,Out of Stock,4.0,5906
2025-09-11,amazon,iPad,iPad (9th Gen) 64GB, New,329,3059.70,199.69,1857.12,39.3,,Out of Stock,4.4,2535
2024-05-06,amazon ,Mac,MacBook Air M3 256GB,Renewed/Refurbished,1099,10220.70,797.11,7413.12,27.500000000000004,,Out of Stock,4.3,170
2026-01-11,amazon ,iPhone,iPhone 16 128GB,new,799,7430.70,712.6,6627.18,10.8,,In Stock,4.2,1804
11/02/2026, Flipkart ,iPhone,iPhone 15 128GB,New,799,7430.70,604.64,5623.15,24.3,,In Stock,4.9,2471
03/09/2024,flipkart,iPad,iPad Pro 11-inch (M4) 256GB,NEW ,999,9290.70,1009.26,9386.12,-1.0,,In Stock,4.7,309
2025-12-16,amazon ,iPad,iPad Pro 12.9-inch (M2) 256GB, New,1199,11150.70,885.56,8235.71,26.1,,In Stock,4.7,5856
Mar 14 2025,FLIPKART,Mac,MacBook Pro 14-inch M3 Pro 512GB,new,1999,18590.70,1928.72,17937.10,3.5000000000000004,,In Stock,4.3,1165
01/11/2024, Flipkart ,iPhone,iPhone 15 Pro Max 256GB,Renewed/Refurbished,1199,11150.70,835.06,7766.06,30.4,,In Stock,3.9,878
2023-04-18, Flipkart ,iPhone,iPhone 14 Pro 128GB,New,999,9290.70,1003.95,9336.74,-0.5,,In Stock,4.8,584
2025-11-23,amazon ,iPhone,iPhone 15 Pro Max 256GB,New,1199,11150.70,899.19,8362.47,25.0,Black Friday,In Stock,4.2,2639
2026-01-11,Flipkart,iPad,iPad Pro 12.9-inch (M2) 256GB,new,1199,11150.70,887.35,8252.36,26.0,,Out of Stock,4.4,4036
2026-04-03,FLIPKART,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,9290.70,500.38,4653.53,49.9,,Out of Stock,4.3,10567
2023-12-26,Flipkart,iPad,iPad (9th Gen) 64GB,Renewed/Refurbished,329,3059.70,165.96,1543.43,49.6,,In Stock,4.0,2932
2023-02-16,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,3989.70,210.34,1956.16,51.0,,In Stock,4.2,2775
2025-01-05, Flipkart ,Watch,Apple Watch Series X (45mm),new,429,3989.70,427.81,3978.63,0.3,,In Stock,4.2,369
2026-03-06,amazon,iPhone,iPhone 13 Pro Max 256GB,New,1199,11150.70,809.4,7527.42,32.5,,Out of Stock,4.3,3463
2024-12-08, Flipkart ,iPhone,iPhone 16 128GB,New,799,7430.70,789.25,7340.03,1.2,,In Stock,4.3,219
2024-06-24,amazon ,Watch,Apple Watch Series 7 (45mm),New,429,3989.70,260.96,2426.93,39.2,,In Stock,4.5,4617
2026-03-21,FLIPKART,Watch,Apple Watch Ultra 2,New,799,7430.70,602.55,5603.72,24.6,,In Stock,4.3,2198
2025-04-13,AMAZON ,iPhone,iPhone 16 128GB,New,799,7430.70,801.81,7456.83,-0.4,,In Stock,4.2,963
2021-12-12, Amazon,iPad,iPad Pro 11-inch (M1) 128GB,Renewed/Refurbished,799,7430.70,582.9,5420.97,27.0,,In Stock,4.1,420
May 15 2024, Amazon,Watch,Apple Watch Series 7 (45mm), New,429,3989.70,259.33,2411.77,39.5,,In Stock,4.4,2708
2023-09-17,Flipkart,iPad,iPad Pro 12.9-inch (M2) 256GB, New,1199,11150.70,1205.75,11213.48,-0.6,,In Stock,4.5,855
2026-04-04,FLIPKART,iPhone,iPhone 13 Pro Max 256GB, New,1199,11150.70,796.32,7405.78,33.6,,Low Stock,4.5,5143
2026-01-15,flipkart,Mac,MacBook Pro 14-inch M4 Pro 512GB,Renewed/Refurbished,1999,18590.70,1452.18,13505.27,27.4,,In Stock,4.2,1602
2023-08-29, Flipkart ,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.70,609.11,5664.72,23.8,,In Stock,4.3,3301
16/03/2026,Flipkart,Mac,MacBook Pro 14-inch M1 Pro 512GB, New,1999,18590.70,1627.05,15131.57,18.6,,Low Stock,4.7,7699
2025-05-15,Flipkart,Watch,Apple Watch Series 9 (45mm),New,429,3989.70,324.53,3018.13,24.4,,In Stock,4.7,1316
2021-03-22, Flipkart ,Watch,Apple Watch Series 6 (44mm),NEW ,429,3989.70,436.94,4063.54,-1.9,,In Stock,4.8,388
2026-01-17,flipkart,iPhone,iPhone 15 Pro Max 256GB,New,1199,11150.70,1016.03,9449.08,15.3,,In Stock,4.3,2415
Dec 13 2023,amazon ,iPhone,iPhone 13 128GB,New,799,7430.70,591.6,5501.88,26.0,,In Stock,4.3,3535
2024-06-09,flipkart,Watch,Apple Watch Series 8 (45mm), New,429,3989.70,331.54,3083.32,22.7,,In Stock,4.9,1277
2025-04-12, Flipkart ,Mac,MacBook Pro 14-inch M4 Pro 512GB,Renewed/Refurbished,1999,18590.70,1414.17,13151.78,29.3,,In Stock,4.3,295
Apr 02 2024,Flipkart,Watch,Apple Watch Series 8 (45mm),Renewed/Refurbished,429,3989.70,241.93,2249.95,43.6,,In Stock,4.3,2531
2022-07-05,amazon ,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,5570.70,390.26,3629.42,34.8,,In Stock,3.8,2551
2024-12-30,Flipkart,Mac,MacBook Pro 14-inch M4 Pro 512GB,NEW ,1999,18590.70,2033.83,18914.62,-1.7000000000000002,,In Stock,4.8,352
2026-06-09,Amazon,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,9290.70,493.4,4588.62,50.6,,Low Stock,4.0,9322
2026-05-24, Flipkart ,iPhone,iPhone 14 128GB,Renewed/Refurbished,799,7430.70,380.81,3541.53,52.3,,Low Stock,4.0,6339
2025-03-26, Amazon,iPhone,iPhone 16 128GB,Renewed/Refurbished,799,7430.70,622.01,5784.69,22.2,,Low Stock,4.2,428
2026-07-02,AMAZON ,iPad,iPad Air (5th Gen) 64GB,Renewed/Refurbished,599,5570.70,272.87,2537.69,54.400000000000006,,Low Stock,4.4,4877
Feb 22 2026,Amazon,iPhone,iPhone 17 128GB, New,849,7895.70,861.94,8016.04,-1.5,,Out of Stock,4.4,669
2024-03-27,Flipkart,Watch,Apple Watch Series 7 (45mm),New,429,3989.70,262.32,2439.58,38.9,,In Stock,4.5,2499
Aug 16 2025,FLIPKART,Mac,MacBook Air M3 256GB,Renewed/Refurbished,1099,10220.70,795.93,7402.15,27.6,,In Stock,3.9,2312
23/02/2026,FLIPKART,Watch,Apple Watch Ultra,new,799,7430.70,501.32,4662.28,37.3,,Out of Stock,4.8,5754
2024-07-05, Amazon,iPhone,iPhone 14 Pro 128GB, New,999,9290.70,895.21,8325.45,10.4,,In Stock,4.5,3308
2021-10-23,FLIPKART,iPhone,iPhone 13 Pro Max 256GB,NEW ,1199,11150.70,1175.1,10928.43,2.0,,In Stock,4.7,81
2024-09-02,amazon ,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,9290.70,515.19,4791.27,48.4,,In Stock,4.5,2145
2023-05-15,Flipkart,iPhone,iPhone 14 Pro 128GB,NEW ,999,9290.70,992.66,9231.74,0.6,,In Stock,4.4,643
2025-09-11,amazon ,iPhone,iPhone 15 128GB,new,799,7430.70,688.47,6402.77,13.8,,In Stock,4.4,3061
13/07/2025,Flipkart,iPhone,iPhone 16 Pro 256GB,Renewed/Refurbished,1099,10220.70,839.44,7806.79,23.6,,In Stock,3.8,820
Feb 01 2022,AMAZON ,Mac,MacBook Pro 14-inch M1 Pro 512GB,Renewed/Refurbished,1999,18590.70,1658.17,15420.98,17.0,,In Stock,4.4,462
Apr 02 2025,FLIPKART,iPad,iPad Air (4th Gen) 64GB,NEW ,599,5570.70,363.1,3376.83,39.4,,Out of Stock,4.3,8739
2026-04-15, Flipkart ,iPhone,iPhone 16 128GB,NEW ,799,7430.70,695.68,6469.82,12.9,,In Stock,4.7,2519
2025-12-04,amazon,iPad,iPad Pro 11-inch (M4) 256GB,New,999,9290.70,912.57,8486.90,8.7,,In Stock,4.4,3008
2023-12-25,amazon ,Watch,Apple Watch Series 9 (45mm),new,429,3989.70,425.09,3953.34,0.8999999999999999,,In Stock,4.6,485
2023-05-04,flipkart,iPhone,iPhone 12 Pro 128GB, New,999,9290.70,813.03,7561.18,18.6,,Low Stock,4.3,4120
2025-03-17, Amazon,iPhone,iPhone 16 128GB,new,799,7430.70,811.49,7546.86,-1.6,,In Stock,4.8,800
02/07/2024,flipkart,Mac,MacBook Pro 14-inch M3 Pro 512GB,Renewed/Refurbished,1999,18590.70,1435.04,13345.87,28.2,,In Stock,3.9,1203
Feb 14 2025,Flipkart,Watch,Apple Watch Series X (45mm),NEW ,429,3989.70,432.36,4020.95,-0.8,,Low Stock,4.6,717
16/08/2024,FLIPKART,iPad,iPad (9th Gen) 64GB,NEW ,329,3059.70,199.59,1856.19,39.3,,In Stock,4.5,2370
2025-11-29,AMAZON ,Mac,MacBook Air M2 256GB,Renewed/Refurbished,1199,11150.70,539.39,5016.33,55.00000000000001,Black Friday,Out of Stock,4.4,6708
29/07/2026,flipkart,iPhone,iPhone 17 128GB,Renewed/Refurbished,849,7895.70,684.79,6368.55,19.3,,In Stock,4.5,1353
2025-01-01, Flipkart ,Mac,MacBook Pro 14-inch M1 Pro 512GB,NEW ,1999,18590.70,1671.72,15547.00,16.400000000000002,,Low Stock,4.3,3435
2024-02-29,flipkart,iPad,iPad Pro 12.9-inch (M2) 256GB,NEW ,1199,11150.70,1106.16,10287.29,7.7,,In Stock,4.4,1556
2023-05-11,Amazon,iPad,iPad Air (5th Gen) 64GB,new,599,5570.70,505.66,4702.64,15.6,,In Stock,4.8,1404
2022-09-27,flipkart,iPhone,iPhone 14 Pro 128GB,New,999,9290.70,1008.1,9375.33,-0.8999999999999999,,In Stock,4.3,82
2024-06-25, Amazon,iPhone,iPhone 15 Pro Max 256GB,NEW ,1199,11150.70,1210.17,11254.58,-0.8999999999999999,,In Stock,4.3,1128
2025-10-29,amazon,iPhone,iPhone 13 128GB,new,799,7430.70,473.82,4406.53,40.7,,In Stock,4.9,6354
01/12/2024,Flipkart,iPhone,iPhone 12 64GB,NEW ,799,7430.70,478.09,4446.24,40.2,,Out of Stock,4.4,7463
2026-07-12, Flipkart ,Watch,Apple Watch Series 7 (45mm), New,429,3989.70,261.75,2434.28,39.0,,Low Stock,4.7,5409
2026-03-14,amazon,iPhone,iPhone 17 128GB, New,849,7895.70,841.11,7822.32,0.8999999999999999,,Low Stock,4.6,781
2025-07-20, Flipkart ,Watch,Apple Watch Series X (45mm),Renewed/Refurbished,429,3989.70,352.28,3276.20,17.9,,In Stock,3.9,939
2023-10-06,Amazon,iPhone,iPhone 14 128GB,NEW ,799,7430.70,503.77,4685.06,36.9,Great Indian Festival,In Stock,4.8,2097
2026-06-30, Flipkart ,iPhone,iPhone 16 Pro 256GB,new,1099,10220.70,997.1,9273.03,9.3,,In Stock,4.3,2584
2022-08-30,amazon ,iPhone,iPhone 12 Pro 128GB,NEW ,999,9290.70,888.66,8264.54,11.0,,In Stock,4.4,2110
2025-09-22, Flipkart ,iPhone,iPhone 13 Pro Max 256GB,NEW ,1199,11150.70,907.83,8442.82,24.3,,Low Stock,4.8,7138
2025-01-25,FLIPKART,Watch,Apple Watch Ultra, New,799,7430.70,592.08,5506.34,25.9,,In Stock,4.4,2200
2023-09-04, Flipkart ,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,9290.70,660.78,6145.25,33.900000000000006,,In Stock,4.5,4346
Dec 09 2023,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,9290.70,488.12,4539.52,51.1,,Out of Stock,4.1,4849
2024-02-04,AMAZON ,iPhone,iPhone 13 Pro Max 256GB, New,1199,11150.70,1000.73,9306.79,16.5,,In Stock,4.5,3907
2025-02-10,amazon,Mac,MacBook Pro 14-inch M2 Pro 512GB, New,1999,18590.70,1770.96,16469.93,11.4,,Low Stock,4.8,3456
23/06/2024,amazon ,Watch,Apple Watch Ultra 2,Renewed/Refurbished,799,7430.70,583.36,5425.25,27.0,,In Stock,4.2,1044
2026-05-28,flipkart,Watch,Apple Watch Series 6 (44mm),new,429,3989.70,258.55,2404.52,39.7,,In Stock,4.7,8672
2024-06-17,amazon,Mac,MacBook Air M3 256GB,Renewed/Refurbished,1099,10220.70,927.72,8627.80,15.6,,In Stock,3.9,276
2025-10-08,Amazon,iPhone,iPhone 14 Pro 128GB,NEW ,999,9290.70,513.73,4777.69,48.6,Great Indian Festival,Out of Stock,4.6,6121
02/11/2022,amazon ,iPad,iPad (9th Gen) 64GB, New,329,3059.70,228.53,2125.33,30.5,,In Stock,4.2,1880
2023-08-10,Flipkart,iPad,iPad (9th Gen) 64GB,New,329,3059.70,224.45,2087.39,31.8,,In Stock,4.2,2837
2025-09-19,amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB, New,1999,18590.70,1972.23,18341.74,1.3,,In Stock,4.8,1316
2025-11-07, Flipkart ,Watch,Apple Watch Series 9 (45mm),New,429,3989.70,253.27,2355.41,41.0,,In Stock,4.4,2936
2024-02-07,Amazon,Mac,MacBook Pro 14-inch M2 Pro 512GB,new,1999,18590.70,1908.24,17746.63,4.5,,Out of Stock,4.9,1704
2025-04-21,Flipkart,iPad,iPad Pro 11-inch (M1) 128GB,New,799,7430.70,508.07,4725.05,36.4,,Out of Stock,4.5,4741
2026-07-20, Amazon,Mac,MacBook Air M2 256GB,New,1199,11150.70,804.24,7479.43,32.9,,In Stock,4.3,3919
2023-08-17, Amazon,Mac,MacBook Air M1 256GB, New,999,9290.70,790.16,7348.49,20.9,,In Stock,4.6,4914
2021-08-26,Amazon,Watch,Apple Watch Series 6 (44mm),NEW ,429,3989.70,437.3,4066.89,-1.9,,In Stock,4.7,1553
2025-04-19,Flipkart,Watch,Apple Watch Series 9 (45mm),NEW ,429,3989.70,328.94,3059.14,23.3,,In Stock,4.8,1912
2026-02-11,Flipkart,iPhone,iPhone 14 Pro 128GB,new,999,9290.70,685.58,6375.89,31.4,,In Stock,4.3,2380
2023-12-26,flipkart,Mac,MacBook Air M1 256GB,NEW ,999,9290.70,686.94,6388.54,31.2,,Out of Stock,4.8,3270
Mar 10 2026,Flipkart,Watch,Apple Watch Series 6 (44mm),NEW ,429,3989.70,253.54,2357.92,40.9,,Low Stock,4.9,9733
26/12/2024,Amazon,iPad,iPad Air (4th Gen) 64GB, New,599,5570.70,362.55,3371.72,39.5,,Out of Stock,4.6,5228
2025-10-16,AMAZON ,Mac,MacBook Air M3 256GB, New,1099,10220.70,986.12,9170.92,10.3,,In Stock,4.9,2858
2025-09-02, Flipkart ,Watch,Apple Watch Series 7 (45mm),Renewed/Refurbished,429,3989.70,215.05,1999.97,49.9,,Low Stock,3.8,6028
2024-10-13,flipkart,iPhone,iPhone 16 Pro 256GB,Renewed/Refurbished,1099,10220.70,597.49,5556.66,45.6,Big Billion Days,Out of Stock,4.5,103
13/10/2024,FLIPKART,Watch,Apple Watch Series 6 (44mm),NEW ,429,3989.70,228.51,2125.14,46.7,Big Billion Days,Out of Stock,4.3,6760
2025-03-28,FLIPKART,iPhone,iPhone 16 128GB, New,799,7430.70,805.8,7493.94,-0.8999999999999999,,In Stock,4.4,723
2026-01-01, Amazon,iPhone,iPhone 13 128GB,New,799,7430.70,486.76,4526.87,39.1,,In Stock,4.8,3640
2022-12-28, Flipkart ,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,3989.70,210.06,1953.56,51.0,,In Stock,4.3,4050
2025-12-28,Amazon,Mac,MacBook Air M2 256GB,NEW ,1199,11150.70,883.67,8218.13,26.3,,Out of Stock,4.8,6255
2025-07-02,flipkart,Watch,Apple Watch Ultra 2,New,799,7430.70,697.22,6484.15,12.7,,In Stock,4.5,2220
2025-07-11, Flipkart ,Mac,MacBook Pro 14-inch M2 Pro 512GB,Renewed/Refurbished,1999,18590.70,1246.12,11588.92,37.7,,In Stock,4.3,4905
2023-03-03,amazon,iPhone,iPhone 12 Pro 128GB,new,999,9290.70,804.47,7481.57,19.5,,Out of Stock,4.4,1843
2024-12-04,Amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB,new,1999,18590.70,2026.01,18841.89,-1.4,,In Stock,4.9,149
2025-06-19,FLIPKART,iPhone,iPhone 15 Pro Max 256GB,New,1199,11150.70,1082.06,10063.16,9.8,,Low Stock,4.8,1176
2024-02-09,amazon ,iPhone,iPhone 13 128GB,NEW ,799,7430.70,603.17,5609.48,24.5,,In Stock,4.6,2714
2024-07-07, Amazon,iPhone,iPhone 14 Pro 128GB, New,999,9290.70,888.25,8260.73,11.1,,In Stock,4.9,1532
2023-06-08,amazon,iPad,iPad (9th Gen) 64GB,Renewed/Refurbished,329,3059.70,178.04,1655.77,45.9,,In Stock,4.3,2120
2025-11-01,flipkart,Mac,MacBook Air M2 256GB, New,1199,11150.70,902.34,8391.76,24.7,,In Stock,4.2,2822
2024-07-15, Flipkart ,iPhone,iPhone 14 128GB,new,799,7430.70,708.43,6588.40,11.3,,In Stock,4.6,3662
2026-07-18,Amazon,iPhone,iPhone 12 Pro 128GB,NEW ,999,9290.70,455.66,4237.64,54.400000000000006,Prime Day,In Stock,4.8,7752
2024-12-05,amazon,iPhone,iPhone 12 Pro 128GB,new,999,9290.70,590.13,5488.21,40.9,,Low Stock,4.5,2357
2024-10-22,amazon,Watch,Apple Watch Ultra,NEW ,799,7430.70,592.87,5513.69,25.8,,In Stock,4.4,2754
2022-10-05,FLIPKART,iPhone,iPhone 12 Pro 128GB, New,999,9290.70,557.0,5180.10,44.2,Big Billion Days,Out of Stock,4.5,2945
2023-12-14,Flipkart,iPad,iPad (9th Gen) 64GB,Renewed/Refurbished,329,3059.70,159.95,1487.54,51.4,,In Stock,4.3,1211
2025-11-30, Flipkart ,Watch,Apple Watch Series 8 (45mm),new,429,3989.70,219.08,2037.44,48.9,Black Friday,In Stock,4.5,4623
03/01/2024,AMAZON ,Mac,MacBook Air M2 256GB, New,1199,11150.70,1099.21,10222.65,8.3,,In Stock,4.7,1629
2026-02-19,FLIPKART,Watch,Apple Watch Ultra,new,799,7430.70,495.81,4611.03,37.9,,In Stock,4.5,4556
2023-02-03,FLIPKART,Mac,MacBook Air M2 256GB, New,1199,11150.70,1206.27,11218.31,-0.6,,In Stock,4.4,1176
2022-12-19, Flipkart ,iPad,iPad (9th Gen) 64GB,new,329,3059.70,226.86,2109.80,31.0,,Low Stock,4.6,2279
07/10/2025,amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB,Renewed/Refurbished,1999,18590.70,1385.39,12884.13,30.7,Great Indian Festival,Low Stock,4.4,575
2025-09-23,FLIPKART,iPhone,iPhone 16 Pro 256GB,New,1099,10220.70,995.25,9255.83,9.4,,In Stock,4.3,1887
2024-08-27, Amazon,Watch,Apple Watch Series 9 (45mm),New,429,3989.70,422.29,3927.30,1.6,,In Stock,4.8,1372
04/06/2023,amazon,Mac,MacBook Air M1 256GB,new,999,9290.70,784.31,7294.08,21.5,,Low Stock,4.3,3877
08/01/2025,Amazon,Mac,MacBook Pro 14-inch M2 Pro 512GB, New,1999,18590.70,1897.29,17644.80,5.1,,In Stock,4.2,3467
2024-10-14,Flipkart,Mac,MacBook Air M3 256GB,new,1099,10220.70,912.06,8482.16,17.0,Big Billion Days,Low Stock,4.3,716
2021-12-11,FLIPKART,iPhone,iPhone 12 64GB,NEW ,799,7430.70,696.67,6479.03,12.8,,In Stock,4.9,1426
2025-08-22,Amazon,iPad,iPad Pro 11-inch (M1) 128GB,new,799,7430.70,479.77,4461.86,40.0,,In Stock,4.8,6838
2026-07-02,amazon,iPhone,iPhone 15 Pro Max 256GB,NEW ,1199,11150.70,995.86,9261.50,16.900000000000002,,In Stock,4.7,5506
2026-01-02,amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB,Renewed/Refurbished,1999,18590.70,1595.68,14839.82,20.200000000000003,,In Stock,4.2,1764
Feb 20 2025,Flipkart,iPhone,iPhone 15 Pro Max 256GB,NEW ,1199,11150.70,1096.74,10199.68,8.5,,In Stock,4.6,1552
2025-08-23,AMAZON ,Watch,Apple Watch Series 7 (45mm), New,429,3989.70,261.12,2428.42,39.1,,Low Stock,4.8,5014
2024-01-04,AMAZON ,Watch,Apple Watch Ultra 2,Renewed/Refurbished,799,7430.70,609.59,5669.19,23.7,,In Stock,4.2,229
2024-07-14,AMAZON ,iPhone,iPhone 12 64GB, New,799,7430.70,379.73,3531.49,52.5,Prime Day,In Stock,4.5,5541
2023-07-09, Flipkart ,iPad,iPad (9th Gen) 64GB,new,329,3059.70,230.06,2139.56,30.1,,Out of Stock,4.5,3484
2024-09-27,flipkart,iPhone,iPhone 13 Pro Max 256GB,NEW ,1199,11150.70,888.19,8260.17,25.9,,In Stock,4.6,2458
Jun 10 2023,FLIPKART,Watch,Apple Watch Series 6 (44mm), New,429,3989.70,255.72,2378.20,40.400000000000006,,In Stock,4.9,3597
2023-09-05, Flipkart ,Watch,Apple Watch Series 8 (45mm),New,429,3989.70,424.1,3944.13,1.1,,In Stock,4.3,843
Oct 05 2024, Amazon,Mac,MacBook Air M2 256GB,Renewed/Refurbished,1199,11150.70,689.58,6413.09,42.5,Great Indian Festival,In Stock,3.8,1289
20/04/2026,amazon ,iPhone,iPhone 14 Pro 128GB,Renewed/Refurbished,999,9290.70,571.26,5312.72,42.8,,Out of Stock,4.0,3003
2024-11-25,flipkart,iPad,iPad Pro 11-inch (M4) 256GB,New,999,9290.70,793.38,7378.43,20.6,Black Friday,Out of Stock,4.3,501
18/11/2025,amazon,iPhone,iPhone 13 Pro Max 256GB, New,1199,11150.70,812.98,7560.71,32.2,,Out of Stock,4.8,3758
2025-02-09,flipkart,Mac,MacBook Air M3 256GB,Renewed/Refurbished,1099,10220.70,825.86,7680.50,24.9,,Out of Stock,4.3,1778
2025-08-15,amazon ,iPhone,iPhone 16 128GB,Renewed/Refurbished,799,7430.70,649.62,6041.47,18.7,,In Stock,4.3,778
2025-10-09,Flipkart,iPhone,iPhone 17 128GB,New,849,7895.70,718.59,6682.89,15.4,Big Billion Days,Out of Stock,4.2,148
20/01/2025,Flipkart,iPhone,iPhone 16 128GB,Renewed/Refurbished,799,7430.70,619.91,5765.16,22.4,,In Stock,3.9,329
2023-04-16, Flipkart ,iPad,iPad Pro 12.9-inch (M2) 256GB, New,1199,11150.70,1185.05,11020.97,1.2,,In Stock,4.5,914
2026-07-25,Amazon,Mac,MacBook Pro 14-inch M2 Pro 512GB,Renewed/Refurbished,1999,18590.70,1390.1,12927.93,30.5,,Out of Stock,3.9,3403
2023-09-04,Flipkart,iPhone,iPhone 14 128GB,New,799,7430.70,798.01,7421.49,0.1,,In Stock,4.8,878
28/11/2024,Flipkart,Mac,MacBook Air M2 256GB,Renewed/Refurbished,1199,11150.70,659.32,6131.68,45.0,Black Friday,Low Stock,3.9,4578
2022-12-05,FLIPKART,Watch,Apple Watch Ultra, New,799,7430.70,800.03,7440.28,-0.1,,In Stock,4.2,310
Feb 08 2026,amazon,Mac,MacBook Pro 14-inch M4 Pro 512GB, New,1999,18590.70,1868.94,17381.14,6.5,,In Stock,4.5,1145
